Address,Latitude,Longitude
CROWHURST DRIVE,1.361546606,103.8643876
SENGKANG CENTRAL .,1.389143801,103.9013535
SENGKANG CENTRAL,1.392622093,103.8941921
SERANGOON AVE 4,1.369799416,103.8730358
SERANGOON CENTRAL DRIVE,1.354039398,103.8708515
SERANGOON NORTH AVE 1,1.369950992,103.8723123
UPPER SERANGOON ROAD,1.360273205,103.8850046
WOODLANDS DR 44,1.432176367,103.7992662
TAMPINES AVENUE 5,1.347878314,103.9417411
TAMPINES AVENUE 8,1.349361635,103.9284901
TAMPINES STREET 71,1.376741929,103.9375533
TAMPINES STREET 82,1.352102995,103.9365343
TAMPINES STREET 83,1.350362805,103.9345545
TAMPINES STREET 84,1.353341241,103.9334114
YISHUN AVENUE 6,1.438462312,103.8390707
YISHUN AVENUE 9,1.431623708,103.8398484
YISHUN RING ROAD,1.416912101,103.8353363
YISHUN STREET 21,1.432604239,103.8380117
YISHUN STREET 22,1.435915985,103.8378584
TAMPINES STREET 21,1.353435453,103.9530237
TAMPINES STREET 41,1.357832439,103.9457735
BOON LAY WAY,1.327476552,103.7535656
CORPORATION RISE,1.339235707,103.7182653
CORPORATION ROAD,1.32454068,103.7201659
CORPORATION WALK,1.339591347,103.7182313
LAKEPOINT DRIVE,1.340475094,103.716756
LAKESIDE DRIVE,1.3433524,103.7193036
JALAN SENANG,1.325572395,103.9171842
LENGKONG EMPAT,1.327302817,103.9113593
LENGKONG ENAM,1.327428037,103.9147254
LENGKONG TUJOH,1.328540551,103.9151246
CHANGI ROAD,1.317486923,103.9041243
JALAN EUNOS,1.324930002,103.9060093
KAMPONG EUNOS,1.318463907,103.9060768
LORONG G TELOK KURAU,1.316519135,103.905813
LORONG H TELOK KURAU,1.315610989,103.9060496
LORONG SARINA,1.320147428,103.9061031
CHOA CHU KANG NORTH 5,1.391845655,103.7466351
CHOA CHU KANG STREET 53,1.390595593,103.7480241
PASIR RIS STREET 51,1.366934465,103.9529987
BEDOK RESERVOIR ROAD,1.337587346,103.9219636
TEO KIM ENG ROAD,1.32884614,103.9081591
GEYLANG EAST AVENUE 2,1.316404857,103.8879068
GEYLANG ROAD,1.310084296,103.8707783
LORONG 37 GEYLANG,1.315288105,103.8894301
LORONG 39 GEYLANG,1.315311409,103.8904994
LORONG 40 GEYLANG,1.313646131,103.8893635
SIMS AVENUE,1.316163609,103.8895452
CHILTERN DRIVE,1.348567823,103.8620024
JALAN GIRANG,1.347367382,103.8684903
JALAN RIANG,1.347131018,103.8673684
JALAN SUKACHITA,1.348007673,103.867383
MELROSE DRIVE,1.347832374,103.8644825
SERANGOON AVE 3,1.373838883,103.8721395
CHOA CHU KANG STREET 52,1.394471449,103.7440544
CHOA CHU KANG STREET 51,1.391739381,103.7425938
KINGS ROAD,1.318336782,103.8062134
KING'S CLOSE,1.316661671,103.8038651
HOUGANG AVENUE 6,1.373403635,103.8909715
HOUGANG AVENUE 8,1.371437365,103.8812611
FARRER ROAD,1.317439152,103.8073792
AH HOOD RD,1.338608946,103.856476
JALAN DUSUN,1.326965399,103.8436742
JALAN RAJA UDANG,1.326945144,103.8424771
CHOA CHU KANG STREET 52,1.394471449,103.7440544
CHOA CHU KANG NORTH 6,1.397084324,103.746598
JURONG WEST STREET 52,1.349642302,103.7184475
JALAN MANIS,1.324725412,103.9490542
ST FRANCIS ROAD,1.325051,103.8641799
ST George's ROAD,1.323402637,103.8616308
ST MICHAEL ROAD,1.326049966,103.8556015
LORONG 1 TOA PAYOH,1.341238207,103.8463895
LORONG 2 TOA PAYOH,1.336287068,103.8465138
TOA PAYOH NORTH,1.341797516,103.8461107
SERANGOON CENTRAL,1.353880327,103.8723667
SERANGOON NORTH AVENUE 1,1.369950992,103.8723123
SERANGOON NORTH AVENUE 2,1.369201697,103.8756266
BRIGHT HILL DRIVE,1.357077779,103.831739
SIN MING AVENUE,1.360990605,103.8289744
CHAI CHEE AVE,1.324162235,103.9239893
JALAN TERANG BULAN,1.32240273,103.9250884
TAMPINES PLACE,1.366637789,103.9294399
TAMPINES STREET 11,1.348329155,103.9484307
BOON TIONG ROAD,1.286365781,103.8287899
HAVELOCK ROAD,1.287931452,103.8296348
TAMAN HO SWEE,1.287807531,103.8327806
COMMONWEALTH DRIVE,1.299966377,103.7977201
SERANGOON AVE 4,1.369799416,103.8730358
SERANGOON CENTRAL DRIVE,1.354039398,103.8708515
TAMPINES AVENUE 4,1.34656173,103.93734
WOODLANDS DR 44,1.432176367,103.7992662
BISHAN STREET 24,1.35728843,103.8437901
BUKIT BATOK STREET 31,1.358099282,103.7507197
BUKIT BATOK STREET 51,1.357188206,103.7511239
CHUAN HOE AVENUE,1.364159744,103.8749178
PARRY AVENUE,1.3640734,103.8812785
COMPASSVALE WALK,1.389336348,103.9002572
EUNOS VILLE,1.333332444,103.9078428
SIMS AVE,1.316163609,103.8895452
LENGKONG DUA,1.324098533,103.9133026
SENGKANG CENTRAL .,1.389143801,103.9013535
SENGKANG CENTRAL,1.392622093,103.8941921
SERANGOON NORTH AVE 1,1.369950992,103.8723123
UPPER SERANGOON ROAD,1.360273205,103.8850046
TAMPINES AVENUE 5,1.34787831404331,103.941741144043
TAMPINES AVENUE 8,1.34936163486912,103.928490119258
TAMPINES STREET 71,1.37674192921324,103.937553253083
TAMPINES STREET 82,1.35210299492899,103.936534321867
TAMPINES STREET 83,1.35036280478376,103.934554541156
TAMPINES STREET 84,1.35334124083263,103.933411373045
YISHUN AVENUE 6,1.43846231168609,103.839070707702
YISHUN AVENUE 9,1.43162370844369,103.83984841958
YISHUN RING ROAD,1.41691210086435,103.835336299063
YISHUN STREET 21,1.43260423932066,103.838011671738
YISHUN STREET 22,1.43591598491658,103.837858420722
TAMPINES STREET 21,1.35343545338046,103.953023672678
TAMPINES STREET 41,1.35783243904096,103.945773504554
BOON LAY WAY,1.32747655183299,103.753565568261
CORPORATION RISE,1.33923570721256,103.718265334246
CORPORATION ROAD,1.32454068043523,103.720165889611
CORPORATION WALK,1.33959134743181,103.718231309062
LAKEPOINT DRIVE,1.34047509435306,103.716756016953
LAKESIDE DRIVE,1.34335239967805,103.719303577001
JALAN SENANG,1.32557239489649,103.917184249361
LENGKONG EMPAT,1.32730281734647,103.911359251474
LENGKONG TUJOH,1.32854055091344,103.915124551985
CHANGI ROAD,1.31748692341797,103.904124294029
JALAN EUNOS,1.32493000179929,103.906009319447
KAMPONG EUNOS,1.31846390653038,103.9060767957
LORONG G TELOK KURAU,1.31651913545434,103.905813017122
LORONG H TELOK KURAU,1.31561098869751,103.906049579061
LORONG SARINA,1.32014742772287,103.906103107981
CHOA CHU KANG NORTH 5,1.39184565454399,103.746635141653
CHOA CHU KANG STREET 53,1.39059559281482,103.748024129362
BEDOK RESERVOIR ROAD,1.33758734617106,103.921963603077
TEO KIM ENG ROAD,1.32884614049821,103.90815907795
GEYLANG ROAD,1.31008429629945,103.8707782715
LORONG 37 GEYLANG,1.31528810526081,103.889430101654
LORONG 39 GEYLANG,1.31531140917615,103.890499386218
LORONG 40 GEYLANG,1.31364613079934,103.889363517077
SIMS AVENUE,1.31616360917262,103.889545199814
PASIR RIS STREET 51,1.36693446505935,103.952998741085
TAMPINES STREET 81,1.34873284518969,103.934010232785
CHOA CHU KANG STREET 52,1.39447144920635,103.744054352225
CHOA CHU KANG STREET 51,1.391739380974,103.742593830711
KINGS ROAD,1.31833678188254,103.806213380262
KING'S CLOSE,1.31666167108272,103.803865059756
HOUGANG AVENUE 6,1.37340363494693,103.890971498594
HOUGANG AVENUE 8,1.37143736463902,103.881261079192
FARRER ROAD,1.31743915158967,103.807379214161
CHILTERN DRIVE,1.34856782264649,103.862002447664
JALAN GIRANG,1.34736738162343,103.868490315732
JALAN RIANG,1.34713101812612,103.867368435213
JALAN SUKACHITA,1.34800767333684,103.867383025601
MELROSE DRIVE,1.34783237365903,103.864482472679
AH HOOD RD,1.33860894643291,103.856475963154
JALAN DUSUN,1.32696539864482,103.84367423097
JALAN RAJA UDANG,1.32694514386768,103.842477104702
CHOA CHU KANG STREET 52,1.39447144920635,103.744054352225
CHOA CHU KANG NORTH 6,1.39708432396576,103.746598000147
JURONG WEST STREET 52,1.34964230218295,103.718447549568
CHAI CHEE AVE,1.32416223531658,103.923989283543
JALAN TERANG BULAN,1.32240272969493,103.925088406396
JALAN MANIS,1.32472541215649,103.949054176197
ST FRANCIS ROAD,1.32505099986657,103.864179852708
ST George's ROAD,1.32340263694069,103.86163080083
ST MICHAEL ROAD,1.32604996571129,103.855601472404
SERANGOON NORTH AVENUE 1,1.36995099247833,103.872312299228
SERANGOON NORTH AVENUE 2,1.36920169650272,103.875626645957
BRIGHT HILL DRIVE,1.35707777906852,103.831738982491
SIN MING AVENUE,1.36099060483292,103.828974355886
LORONG 1 TOA PAYOH,1.34123820692527,103.846389510905
TOA PAYOH NORTH,1.34179751560264,103.846110668033
TAMPINES PLACE,1.36663778913399,103.929439924949
TAMPINES STREET 11,1.34832915462114,103.948430663533
COMMONWEALTH DRIVE,1.2999663767853,103.797720130697
SERANGOON CENTRAL,1.35388032675518,103.872366663054
TAMPINES AVENUE 4,1.34656173045585,103.937340025822
BUKIT BATOK STREET 31,1.35809928242123,103.750719669325
BUKIT BATOK STREET 51,1.3571882058688,103.751123943023
CHUAN HOE AVENUE,1.36415974406718,103.874917770574
PARRY AVENUE,1.3640733997249,103.881278471354
COMPASSVALE WALK,1.38933634766574,103.900257243982
SIMS AVE,1.31616360917262,103.889545199814
LENGKONG DUA,1.32409853280722,103.913302551656
PENSHURST PLACE,1.36267372286237,103.865387404309
MEDWAY DRIVE,1.36218188592925,103.86481853712
CROWHURST DRIVE,1.36154660587447,103.864387586826
SENGKANG CENTRAL .,1.38914380084977,103.901353490892
SENGKANG CENTRAL,1.39262209345055,103.894192083207
SERANGOON AVE 4,1.36979941551155,103.873035824458
SERANGOON CENTRAL DRIVE,1.35403939780038,103.870851534185
SERANGOON NORTH AVE 1,1.36995099247833,103.872312299228
UPPER SERANGOON ROAD,1.36027320517183,103.885004583147
WOODLANDS DR 44,1.43217636744867,103.799266249686
TAMPINES AVENUE 5,1.34787831404331,103.941741144043
TAMPINES AVENUE 8,1.34936163486912,103.928490119258
TAMPINES STREET 71,1.37674192921324,103.937553253083
TAMPINES STREET 82,1.35210299492899,103.936534321867
TAMPINES STREET 83,1.35036280478376,103.934554541156
TAMPINES STREET 84,1.35334124083263,103.933411373045
YISHUN AVENUE 6,1.43846231168609,103.839070707702
YISHUN AVENUE 9,1.43162370844369,103.83984841958
YISHUN RING ROAD,1.41691210086435,103.835336299063
YISHUN STREET 21,1.43260423932066,103.838011671738
YISHUN STREET 22,1.43591598491658,103.837858420722
TAMPINES STREET 21,1.35343545338046,103.953023672678
TAMPINES STREET 41,1.35783243904096,103.945773504554
BOON LAY WAY,1.32747655183299,103.753565568261
CORPORATION RISE,1.33923570721256,103.718265334246
CORPORATION ROAD,1.32454068043523,103.720165889611
CORPORATION WALK,1.33959134743181,103.718231309062
LAKEPOINT DRIVE,1.34047509435306,103.716756016953
LAKESIDE DRIVE,1.34335239967805,103.719303577001
JALAN SENANG,1.32557239489649,103.917184249361
LENGKONG EMPAT,1.32730281734647,103.911359251474
LENGKONG ENAM,1.32742803666617,103.914725399338
LENGKONG TUJOH,1.32854055091344,103.915124551985
CHANGI ROAD,1.31748692341797,103.904124294029
JALAN EUNOS,1.32493000179929,103.906009319447
KAMPONG EUNOS,1.31846390653038,103.9060767957
LORONG G TELOK KURAU,1.31651913545434,103.905813017122
LORONG H TELOK KURAU,1.31561098869751,103.906049579061
LORONG SARINA,1.32014742772287,103.906103107981
CHOA CHU KANG NORTH 5,1.39184565454399,103.746635141653
CHOA CHU KANG STREET 53,1.39059559281482,103.748024129362
PASIR RIS STREET 51,1.36693446505935,103.952998741085
BEDOK RESERVOIR ROAD,1.33758734617106,103.921963603077
TEO KIM ENG ROAD,1.32884614049821,103.90815907795
GEYLANG EAST AVENUE 2,1.31640485669867,103.887906763671
GEYLANG ROAD,1.31008429629945,103.8707782715
LORONG 37 GEYLANG,1.31528810526081,103.889430101654
LORONG 39 GEYLANG,1.31531140917615,103.890499386218
LORONG 40 GEYLANG,1.31364613079934,103.889363517077
SIMS AVENUE,1.31616360917262,103.889545199814
CHILTERN DRIVE,1.34856782264649,103.862002447664
JALAN GIRANG,1.34736738162343,103.868490315732
JALAN RIANG,1.34713101812612,103.867368435213
JALAN SUKACHITA,1.34800767333684,103.867383025601
MELROSE DRIVE,1.34783237365903,103.864482472679
SERANGOON AVE 3,1.3738388833849,103.872139505564
CHOA CHU KANG STREET 52,1.39447144920635,103.744054352225
CHOA CHU KANG STREET 51,1.391739380974,103.742593830711
KINGS ROAD,1.31833678188254,103.806213380262
KING'S CLOSE,1.31666167108272,103.803865059756
HOUGANG AVENUE 6,1.37340363494693,103.890971498594
HOUGANG AVENUE 8,1.37143736463902,103.881261079192
FARRER ROAD,1.31743915158967,103.807379214161
AH HOOD RD,1.33860894643291,103.856475963154
JALAN DUSUN,1.32696539864482,103.84367423097
JALAN RAJA UDANG,1.32694514386768,103.842477104702
CHOA CHU KANG STREET 52,1.39447144920635,103.744054352225
CHOA CHU KANG NORTH 6,1.39708432396576,103.746598000147
JURONG WEST STREET 52,1.34964230218295,103.718447549568
JALAN MANIS,1.32472541215649,103.949054176197
ST FRANCIS ROAD,1.32505099986657,103.864179852708
ST George's ROAD,1.32340263694069,103.86163080083
ST MICHAEL ROAD,1.32604996571129,103.855601472404
LORONG 1 TOA PAYOH,1.34123820692527,103.846389510905
LORONG 2 TOA PAYOH,1.33628706847821,103.846513782907
TOA PAYOH NORTH,1.34179751560264,103.846110668033
SERANGOON CENTRAL,1.35388032675518,103.872366663054
SERANGOON NORTH AVENUE 1,1.36995099247833,103.872312299228
SERANGOON NORTH AVENUE 2,1.36920169650272,103.875626645957
BRIGHT HILL DRIVE,1.35707777906852,103.831738982491
SIN MING AVENUE,1.36099060483292,103.828974355886
CHAI CHEE AVE,1.32416223531658,103.923989283543
JALAN TERANG BULAN,1.32240272969493,103.925088406396
TAMPINES PLACE,1.36663778913399,103.929439924949
TAMPINES STREET 11,1.34832915462114,103.948430663533
BOON TIONG ROAD,1.28636578112537,103.828789865607
HAVELOCK ROAD,1.28793145242331,103.829634832006
TAMAN HO SWEE,1.28780753147299,103.832780576669
COMMONWEALTH DRIVE,1.2999663767853,103.797720130697
SERANGOON AVE 4,1.36979941551155,103.873035824458
SERANGOON CENTRAL DRIVE,1.35403939780038,103.870851534185
TAMPINES AVENUE 4,1.34656173045585,103.937340025822
WOODLANDS DR 44,1.43217636744867,103.799266249686
BISHAN STREET 24,1.35728842987328,103.843790117762
BUKIT BATOK STREET 31,1.35809928242123,103.750719669325
BUKIT BATOK STREET 51,1.3571882058688,103.751123943023
CHUAN HOE AVENUE,1.36415974406718,103.874917770574
PARRY AVENUE,1.3640733997249,103.881278471354
COMPASSVALE WALK,1.38933634766574,103.900257243982
EUNOS VILLE,1.33333244386404,103.907842817777
SIMS AVE,1.31616360917262,103.889545199814
LENGKONG DUA,1.32409853280722,103.913302551656
SENGKANG CENTRAL .,1.38914380084977,103.901353490892
SENGKANG CENTRAL,1.39262209345055,103.894192083207
SERANGOON NORTH AVE 1,1.36995099247833,103.872312299228
UPPER SERANGOON ROAD,1.36027320517183,103.885004583147
TAMPINES AVENUE 5,1.34787831404331,103.941741144043
TAMPINES AVENUE 8,1.34936163486912,103.928490119258
TAMPINES STREET 71,1.37674192921324,103.937553253083
TAMPINES STREET 73,1.3582883775473,103.931386628373
TAMPINES STREET 81,1.34873284518969,103.934010232785
TAMPINES STREET 82,1.35210299492899,103.936534321867
TAMPINES STREET 83,1.35036280478376,103.934554541156
TAMPINES STREET 84,1.35334124083263,103.933411373045
YISHUN AVENUE 6,1.43846231168609,103.839070707702
YISHUN AVENUE 9,1.43162370844369,103.83984841958
YISHUN RING ROAD,1.41691210086435,103.835336299063
YISHUN STREET 21,1.43260423932066,103.838011671738
YISHUN STREET 22,1.43591598491658,103.837858420722
TAMPINES CENTRAL 1,1.35590219010974,103.945912182468
TAMPINES STREET 21,1.35343545338046,103.953023672678
TAMPINES STREET 41,1.35783243904096,103.945773504554
PASIR RIS STREET 51,1.36693446505935,103.952998741085
PASIR RIS DRIVE 1,1.3748820566351,103.940592109521
BOON LAY WAY,1.32747655183299,103.753565568261
CORPORATION RISE,1.33923570721256,103.718265334246
CORPORATION ROAD,1.32454068043523,103.720165889611
CORPORATION WALK,1.33959134743181,103.718231309062
LAKEPOINT DRIVE,1.34047509435306,103.716756016953
CHANGI ROAD,1.31748692341797,103.904124294029
JALAN EUNOS,1.32493000179929,103.906009319447
KAMPONG EUNOS,1.31846390653038,103.9060767957
LORONG 110 CHANGI,1.31827945971625,103.909824213553
LORONG G TELOK KURAU,1.31651913545434,103.905813017122
LORONG H TELOK KURAU,1.31561098869751,103.906049579061
LORONG MARZUKI,1.3237974236111,103.908340024962
LORONG MELAYU,1.32399309501441,103.909264493491
TELOK KURAU ROAD,1.31785132345028,103.908905458358
LORONG SARINA,1.32014742772287,103.906103107981
SIMS AVENUE EAST,1.31640485669867,103.887906763671
CHOA CHU KANG NORTH 5,1.39184565454399,103.746635141653
CHOA CHU KANG STREET 53,1.39059559281482,103.748024129362
CHOA CHU KANG STREET 51,1.391739380974,103.742593830711
CHOA CHU KANG STREET 52,1.39447144920635,103.744054352225
KING'S CLOSE,1.31666167108272,103.803865059756
KING'S ROAD,1.32290100963862,103.810921045145
KING'S WALK,1.3172456336863,103.803044852202
VICTORIA PARK ROAD,1.31707081239946,103.804338669189
JURONG WEST STREET 52,1.34964230218295,103.718447549568
WESTWOOD AVENUE,1.35303111947953,103.699032856657
WESTWOOD CRESCENT,1.35166607584688,103.699706013043
WESTWOOD DRIVE,1.35111680392627,103.699494662001
WESTWOOD ROAD,1.35132574301045,103.69920187813
WESTWOOD TERRACE,1.35404562027581,103.69817191656
WESTWOOD WALK,1.35306411051944,103.697961431183
CHOA CHU KANG NORTH 6,1.39708432396576,103.746598000147
CHOA CHU KANG STREET 62,1.39966040841671,103.745882795532
HOUGANG AVENUE 8,1.37143736463902,103.881261079192
HOUGANG AVENUE 10,1.3717101782629,103.894247824437
UPPER SERANGOON ROAD,1.36027320517183,103.885004583147
HOUGANG STREET 92,1.37415222602816,103.878360066595
BEATTY ROAD,1.31429091534286,103.858317002144
RACE COURSE ROAD,1.31586754661,103.858023679286
RANGOON ROAD,1.31476979071809,103.854051989281
STARLIGHT ROAD,1.31412483444906,103.853669883714
STURDEE ROAD,1.31223603566236,103.859034588361
JOO AVENUE,1.31519645146945,103.85562358078
SING AVENUE,1.31442784690881,103.854590851448
OXFORD ROAD,1.3157953905606,103.852804524115
KENT ROAD,1.29434507610317,103.769823829533
HOUGANG AVENUE 1,1.35383705299112,103.886917032282
GEYLANG ROAD,1.31008429629945,103.8707782715
LORONG 4 GEYLANG,1.31132969345473,103.87602835242
LORONG 6 GEYLANG,1.31115202963177,103.876674762958
LORONG 8 GEYLANG,1.31181054326776,103.877164387335
LORONG 9 GEYLANG,1.31244748028311,103.876349019317
LORONG 15 GEYLANG,1.312829380594,103.878147917575
LORONG 17 GEYLANG,1.31295535798145,103.878972648946
LORONG 21 GEYLANG,1.31317202004067,103.880002587436
SIMS AVENUE,1.31616360917262,103.889545199814
SIMEI STREET 1,1.34269199750599,103.953050756306
YISHUN CENTRAL,1.42973387379292,103.835854862105
TAMPINES STREET 11,1.34832915462114,103.948430663533
TAMPINES AVENUE 1,1.34529287146324,103.93422869419
DAWSON ROAD,1.29386475464004,103.810092969298
STRATHMORE AVE,1.29380260290314,103.807789228113
SERANGOON AVENUE 3,1.3738388833849,103.872139505564
ANG MO KIO AVENUE 5,1.37731149652799,103.860485872465
ANG MO KIO AVENUE 10,1.37380851539559,103.854594160873
LORONG 3 GEYLANG,1.31193842312929,103.874584510427
UPPER BOON KENG ROAD,1.31360661382131,103.870398673134
SERANGOON CENTRAL,1.35388032675518,103.872366663054
GANGSA ROAD,1.37916431633637,103.767439286222
PENDING ROAD,1.37602800535195,103.769749123717
BUKIT PANJANG RING ROAD,1.37727545203058,103.773096813492
SAINT FRANCIS ROAD,1.32505099986657,103.864179852708
SAINT GEORGES ROAD,1.32369795683614,103.86209172719
SAINT MICHAEL'S ROAD,1.3247038792419,103.864608983
JALAN SEMERBAK,1.32495494218065,103.863686105088
LORONG 1 TOA PAYOH,1.34123820692527,103.846389510905
LORONG 2 TOA PAYOH,1.33628706847821,103.846513782907
PRINCE CHARLES CRESCENT,1.29219729013701,103.823710308611
GRACE WALK,1.35856417900748,103.868737248367
SERANGOON AVENUE 4,1.36979941551155,103.873035824458
ANG MO KIO AVENUE 1,1.36544473560131,103.839573124991
ANG MO KIO STREET 32,1.36565018546903,103.851009800453
ANG MO KIO AVENUE 8,1.36504462755741,103.852136980515
BLOXHOME DRIVE,1.36108878039683,103.864022838471
CROWHURST DRIVE,1.36154660587447,103.864387586826
BUKIT BATOK STREET 33,1.36139508011177,103.746516655571
BUKIT BATOK WEST AVENUE 4,1.3629029334905,103.746483437421
PASIR RIS DRIVE 4,1.36899801064525,103.958647641559
PORTCHESTER AVENUE,1.36560414659553,103.866020425438
TAVISTOCK AVENUE,1.37019857411411,103.865482337193
UBI AVE 4,1.33469388017756,103.894827505237
WOODLANDS STREET 82,1.4436333190966,103.790433081042
WOODLANDS STREET 83,1.43949658747048,103.791761372713
CHOA CHU KANG LOOP,1.3840651692895,103.744923812475
FAJAR ROAD,1.37942873617052,103.76970317201
HOUGANG AVENUE 4,1.37361587694624,103.885758919948
HOUGANG AVE 8,1.37143736463902,103.881261079192
HOUGANG AVE 10,1.3717101782629,103.894247824437
PASIR RIS STREET 21,1.37245132722087,103.962922699031
PASIR RIS STREET 53,1.37317980509566,103.947553832417
RIVERVALE DRIVE,1.38246038039285,103.902238681998
RIVERVALE STREET,1.38752823629059,103.903512956253
ANG MO KIO AVENUE 3,1.36931517954752,103.847153924066
BUKIT BATOK EAST AVENUE 2,1.34697364384301,103.759058564788
HILLVIEW TERRACE,1.35251718692256,103.758936331977
EDGEDALE PLAINS,1.40126905129977,103.915973926594
PUNGGOL FIELD,1.39296771529535,103.911961961755
HOUGANG AVENUE 7,1.35370313485788,103.890680820842
HOUGANG STREET 52,1.35304421094299,103.87823462336
HOUGANG STREET,1.35752772836952,103.884028949439
YISHUN AVENUE 3,1.42347167139153,103.830623267044
YISHUN STREET 72,1.42539842441665,103.833259035976
YISHUN STREET 11,1.43076992740758,103.833036581863
TAMPINES AVENUE 5,1.34787831404331,103.941741144043
TAMPINES AVENUE 8,1.34936163486912,103.928490119258
TAMPINES STREET 71,1.37674192921324,103.937553253083
TAMPINES STREET 73,1.3582883775473,103.931386628373
TAMPINES STREET 81,1.34873284518969,103.934010232785
TAMPINES STREET 82,1.35210299492899,103.936534321867
TAMPINES STREET 83,1.35036280478376,103.934554541156
TAMPINES STREET 84,1.35334124083263,103.933411373045
TAMPINES CENTRAL 1,1.35590219010974,103.945912182468
TAMPINES STREET 21,1.35343545338046,103.953023672678
TAMPINES STREET 41,1.35783243904096,103.945773504554
YISHUN AVENUE 6,1.43846231168609,103.839070707702
YISHUN AVENUE 9,1.43162370844369,103.83984841958
YISHUN RING ROAD,1.41691210086435,103.835336299063
YISHUN STREET 21,1.43260423932066,103.838011671738
YISHUN STREET 22,1.43591598491658,103.837858420722
PASIR RIS STREET 51,1.36693446505935,103.952998741085
PASIR RIS DRIVE 1,1.3748820566351,103.940592109521
BOON LAY WAY,1.32747655183299,103.753565568261
CORPORATION RISE,1.33923570721256,103.718265334246
CORPORATION ROAD,1.32454068043523,103.720165889611
